                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79579,                 2.0497,                 1.2121,                0.74655,                0.79741,                0.79934,                0.65647,                0.59216,                 1.6439,                 1.0354,             0.00054518,             0.00054518,             0.00054518
                      2,                0.79293,                 1.5788,                 1.1812,                0.58074,                0.58684,                0.63328,                0.45324,                 1.0172,                 1.9619,                 1.3758,              0.0010791,              0.0010791,              0.0010791
                      3,                0.82468,                 1.4345,                 1.2047,                0.56484,                0.44773,                0.56055,                0.39184,                0.96975,                 2.3504,                 1.4682,              0.0015909,              0.0015909,              0.0015909
                      4,                0.84736,                 1.3379,                 1.2034,                0.83302,                0.66009,                 0.8019,                0.63557,                0.74289,                 1.6106,                 1.2142,               0.001568,               0.001568,               0.001568
                      5,                0.80776,                 1.1889,                 1.1855,                 0.3537,                0.71286,                 0.5617,                 0.4133,                0.87045,                 2.0278,                 1.2587,               0.001535,               0.001535,               0.001535
                      6,                0.81838,                 1.1262,                  1.173,                0.80777,                0.83419,                0.85465,                0.70483,                0.65779,                0.93512,                  1.064,               0.001502,               0.001502,               0.001502
                      7,                0.76619,                  1.032,                 1.1598,                0.81047,                0.79627,                0.83729,                 0.6517,                0.76904,                 1.0445,                 1.1709,               0.001469,               0.001469,               0.001469
                      8,                0.70724,                0.94463,                 1.1155,                0.76956,                0.79845,                0.87158,                  0.694,                0.67638,                 1.0027,                 1.1171,               0.001436,               0.001436,               0.001436
                      9,                0.70832,                0.95077,                 1.1435,                 0.7701,                0.83984,                0.87153,                0.75232,                0.63368,                0.84031,                 1.0304,              0.0014029,              0.0014029,              0.0014029
                     10,                0.72383,                0.90921,                 1.1297,                0.60859,                0.88195,                0.86107,                0.73182,                0.55869,                  1.044,                0.98834,              0.0013699,              0.0013699,              0.0013699
                     11,                0.68405,                0.84812,                 1.0954,                0.82586,                0.79383,                 0.8895,                0.77077,                0.58248,                0.79536,                0.97481,              0.0013369,              0.0013369,              0.0013369
                     12,                0.64723,                0.79958,                 1.0798,                0.80401,                0.84766,                 0.9058,                0.79062,                 0.5502,                0.74095,                0.94824,              0.0013039,              0.0013039,              0.0013039
                     13,                0.67953,                0.81966,                 1.1047,                0.87666,                0.86328,                0.93156,                0.82663,                0.49258,                0.61228,                0.91376,              0.0012709,              0.0012709,              0.0012709
                     14,                0.65638,                0.79293,                  1.095,                0.82292,                0.85938,                0.90307,                0.79134,                0.52567,                0.68031,                0.94771,              0.0012379,              0.0012379,              0.0012379
                     15,                0.62846,                0.77784,                 1.0804,                0.80711,                 0.8537,                0.88081,                0.77155,                0.50172,                0.70716,                0.91722,              0.0012049,              0.0012049,              0.0012049
                     16,                 0.6104,                0.73165,                 1.0703,                0.83124,                0.84188,                0.88868,                0.80702,                0.45069,                 0.6776,                0.88437,              0.0011719,              0.0011719,              0.0011719
